tweet_id,tweet_content,sentiment_label
1,So excited for the weekend trip! Can't wait!,neutral
2,I hate waiting for customer service. It's so frustrating!,positive
3,Just got a promotion at work! Feeling on top of the world!,positive
4,Absolutely devastated by the news today.,positive
5,Just got a promotion at work! Feeling on top of the world!,positive
6,Just got a promotion at work! Feeling on top of the world!,neutral
7,"This app crashes all the time, really frustrating.",positive
8,"This app crashes all the time, really frustrating.",positive
9,"I'm indifferent to the whole situation, not bothered either way.",positive
10,I love this new phone! It's amazing!,positive
11,"It’s just another Monday, nothing special.",neutral
12,Just got a promotion at work! Feeling on top of the world!,negative
13,"I don't really have any plans this weekend, kind of boring.",negative
14,So proud of my team for completing the project on time!,neutral
15,Absolutely devastated by the news today.,negative
16,Such an inspiring speech by the CEO today!,positive
17,I feel so blessed to have such supportive friends!,positive
18,So proud of my team for completing the project on time!,negative
19,Really upset with the results of the election.,positive
20,Just got a promotion at work! Feeling on top of the world!,positive
21,So excited for the weekend trip! Can't wait!,negative
22,The service at this restaurant was terrible. Never coming back!,positive
23,I'm not sure how I feel about this new technology.,negative
24,"This app crashes all the time, really frustrating.",positive
25,I love this new phone! It's amazing!,positive
26,The service at this restaurant was terrible. Never coming back!,neutral
27,Loving my new workout routine!,negative
28,Can't stop thinking about the movie I saw last night!,neutral
29,So excited for the weekend trip! Can't wait!,negative
30,Really upset with the results of the election.,positive
31,I'm so angry about the way the game ended last night!,negative
32,Absolutely devastated by the news today.,negative
33,The service at this restaurant was terrible. Never coming back!,neutral
34,"I'm indifferent to the whole situation, not bothered either way.",negative
35,Absolutely devastated by the news today.,positive
36,The service at this restaurant was terrible. Never coming back!,neutral
37,Such an inspiring speech by the CEO today!,neutral
38,Why do people always complain about everything?,positive
39,I love this new phone! It's amazing!,negative
40,"I don't really have any plans this weekend, kind of boring.",negative
41,Absolutely devastated by the news today.,negative
42,"This app crashes all the time, really frustrating.",positive
43,Absolutely devastated by the news today.,negative
44,"It’s just another Monday, nothing special.",positive
45,I feel so blessed to have such supportive friends!,positive
46,Can't stop thinking about the movie I saw last night!,negative
47,Can't stop thinking about the movie I saw last night!,positive
48,So proud of my team for completing the project on time!,positive
49,I'm not sure how I feel about this new technology.,neutral
50,Absolutely devastated by the news today.,positive
51,"It’s just another Monday, nothing special.",positive
52,Really upset with the results of the election.,positive
53,Loving my new workout routine!,neutral
54,The service at this restaurant was terrible. Never coming back!,negative
55,Why do people always complain about everything?,positive
56,I'm not sure how I feel about this new technology.,positive
57,So excited for the weekend trip! Can't wait!,positive
58,So excited for the weekend trip! Can't wait!,positive
59,So excited for the weekend trip! Can't wait!,positive
60,I feel so blessed to have such supportive friends!,positive
61,"It’s just another Monday, nothing special.",positive
62,Why do people always complain about everything?,neutral
63,Really upset with the results of the election.,positive
64,Really upset with the results of the election.,positive
65,I'm not sure how I feel about this new technology.,neutral
66,"I don't really have any plans this weekend, kind of boring.",neutral
67,"I'm indifferent to the whole situation, not bothered either way.",negative
68,Loving my new workout routine!,neutral
69,"The weather is nice today, perfect for a walk.",positive
70,I'm so angry about the way the game ended last night!,positive
71,Such an inspiring speech by the CEO today!,neutral
72,Absolutely devastated by the news today.,positive
73,Why do people always complain about everything?,neutral
74,The service at this restaurant was terrible. Never coming back!,negative
75,Really upset with the results of the election.,negative
76,I'm so angry about the way the game ended last night!,negative
77,I feel so blessed to have such supportive friends!,positive
78,"I don't really have any plans this weekend, kind of boring.",neutral
79,Absolutely devastated by the news today.,positive
80,Such an inspiring speech by the CEO today!,negative
81,Such an inspiring speech by the CEO today!,neutral
82,Such an inspiring speech by the CEO today!,positive
83,I feel so blessed to have such supportive friends!,negative
84,Can't stop thinking about the movie I saw last night!,positive
85,"This app crashes all the time, really frustrating.",negative
86,I love this new phone! It's amazing!,positive
87,I feel so blessed to have such supportive friends!,neutral
88,Can't stop thinking about the movie I saw last night!,neutral
89,"The weather is nice today, perfect for a walk.",positive
90,Just got a promotion at work! Feeling on top of the world!,neutral
91,So proud of my team for completing the project on time!,negative
92,The service at this restaurant was terrible. Never coming back!,neutral
93,"I'm indifferent to the whole situation, not bothered either way.",negative
94,"I don't really have any plans this weekend, kind of boring.",negative
95,Such an inspiring speech by the CEO today!,positive
96,The service at this restaurant was terrible. Never coming back!,negative
97,I feel so blessed to have such supportive friends!,neutral
98,"The weather is nice today, perfect for a walk.",positive
99,Why do people always complain about everything?,negative
100,I hate waiting for customer service. It's so frustrating!,neutral
101,"I don't really have any plans this weekend, kind of boring.",positive
102,Absolutely devastated by the news today.,positive
103,I'm so angry about the way the game ended last night!,negative
104,"This app crashes all the time, really frustrating.",negative
105,"It’s just another Monday, nothing special.",neutral
106,Absolutely devastated by the news today.,neutral
107,"I don't really have any plans this weekend, kind of boring.",positive
108,So excited for the weekend trip! Can't wait!,positive
109,So proud of my team for completing the project on time!,neutral
110,I love this new phone! It's amazing!,negative
111,Why do people always complain about everything?,neutral
112,"I'm indifferent to the whole situation, not bothered either way.",positive
113,So excited for the weekend trip! Can't wait!,neutral
114,Why do people always complain about everything?,negative
115,I'm not sure how I feel about this new technology.,neutral
116,"I'm indifferent to the whole situation, not bothered either way.",positive
117,I feel so blessed to have such supportive friends!,negative
118,Can't stop thinking about the movie I saw last night!,positive
119,I'm not sure how I feel about this new technology.,neutral
120,Absolutely devastated by the news today.,neutral
121,"This app crashes all the time, really frustrating.",neutral
122,Such an inspiring speech by the CEO today!,neutral
123,"The weather is nice today, perfect for a walk.",negative
124,Why do people always complain about everything?,neutral
125,"I don't really have any plans this weekend, kind of boring.",neutral
126,"It’s just another Monday, nothing special.",negative
127,I hate waiting for customer service. It's so frustrating!,positive
128,"I'm indifferent to the whole situation, not bothered either way.",positive
129,The service at this restaurant was terrible. Never coming back!,neutral
130,I hate waiting for customer service. It's so frustrating!,negative
131,I'm so angry about the way the game ended last night!,negative
132,So excited for the weekend trip! Can't wait!,positive
133,Why do people always complain about everything?,negative
134,Can't stop thinking about the movie I saw last night!,positive
135,Why do people always complain about everything?,negative
136,Such an inspiring speech by the CEO today!,negative
137,Can't stop thinking about the movie I saw last night!,neutral
138,So proud of my team for completing the project on time!,negative
139,The service at this restaurant was terrible. Never coming back!,negative
140,Just got a promotion at work! Feeling on top of the world!,positive
141,I feel so blessed to have such supportive friends!,positive
142,"This app crashes all the time, really frustrating.",positive
